feature,importance_mean,importance_std
prev_alsfrs_r_total,1.6357269438111566,0.017377759160366164
baseline_alsfrs_r_total,0.02312397874472518,0.001322292977361916
delta_from_prev_visit,0.019537744176260353,0.0005533004339168866
onset_delta,0.0033439037605208057,0.0003498923702095338
visit_number,0.0013646461444552505,0.00012614747899570078
time_since_first_visit,0.0010843936209140926,9.428261705316456e-05
alsfrs_delta,0.00041251216140145706,8.390361936909263e-05
age,0.0002166613725503197,6.524199421601787e-05
sex,1.8120052211800797e-05,1.8120052211800793e-05
site_of_onset,-4.6125042194544716e-05,5.778394975071058e-05
